"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2022","AQS","470090011","3","6.1","ug/m3 LC","34","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/02/2022","AQS","470090011","3","-0.4","ug/m3 LC","0","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/03/2022","AQS","470090011","3","1.6","ug/m3 LC","9","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/04/2022","AQS","470090011","3","4","ug/m3 LC","22","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/05/2022","AQS","470090011","3","7.8","ug/m3 LC","43","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/06/2022","AQS","470090011","3","6.4","ug/m3 LC","36","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/07/2022","AQS","470090011","3","5.3","ug/m3 LC","29","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/08/2022","AQS","470090011","3","8.2","ug/m3 LC","46","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/09/2022","AQS","470090011","3","10.9","ug/m3 LC","54","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/10/2022","AQS","470090011","3","1.7","ug/m3 LC","9","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/11/2022","AQS","470090011","3","5","ug/m3 LC","28","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/12/2022","AQS","470090011","3","8.6","ug/m3 LC","48","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/13/2022","AQS","470090011","3","9","ug/m3 LC","50","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/14/2022","AQS","470090011","3","12","ug/m3 LC","56","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/15/2022","AQS","470090011","3","12.7","ug/m3 LC","58","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/16/2022","AQS","470090011","3","6.7","ug/m3 LC","37","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/17/2022","AQS","470090011","3","8","ug/m3 LC","44","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/18/2022","AQS","470090011","3","7.9","ug/m3 LC","44","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/19/2022","AQS","470090011","3","11.1","ug/m3 LC","55","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/20/2022","AQS","470090011","3","6.1","ug/m3 LC","34","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/21/2022","AQS","470090011","3","5.4","ug/m3 LC","30","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/22/2022","AQS","470090011","3","7","ug/m3 LC","39","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/23/2022","AQS","470090011","3","6.6","ug/m3 LC","37","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/24/2022","AQS","470090011","3","8","ug/m3 LC","44","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/25/2022","AQS","470090011","3","7.1","ug/m3 LC","39","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/26/2022","AQS","470090011","3","8.1","ug/m3 LC","45","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/27/2022","AQS","470090011","3","12.2","ug/m3 LC","57","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/28/2022","AQS","470090011","3","11.7","ug/m3 LC","56","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/29/2022","AQS","470090011","3","5.6","ug/m3 LC","31","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/30/2022","AQS","470090011","3","9.5","ug/m3 LC","52","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/31/2022","AQS","470090011","3","9","ug/m3 LC","50","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/01/2022","AQS","470090011","3","10.2","ug/m3 LC","53","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/02/2022","AQS","470090011","3","11.6","ug/m3 LC","56","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/03/2022","AQS","470090011","3","7","ug/m3 LC","39","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/04/2022","AQS","470090011","3","1.8","ug/m3 LC","10","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/05/2022","AQS","470090011","3","5.2","ug/m3 LC","29","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/06/2022","AQS","470090011","3","10.2","ug/m3 LC","53","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/07/2022","AQS","470090011","3","8.1","ug/m3 LC","45","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/08/2022","AQS","470090011","3","7.8","ug/m3 LC","43","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/09/2022","AQS","470090011","3","8.6","ug/m3 LC","48","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/10/2022","AQS","470090011","3","4.3","ug/m3 LC","24","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/11/2022","AQS","470090011","3","10.3","ug/m3 LC","53","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/12/2022","AQS","470090011","3","9.7","ug/m3 LC","52","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/13/2022","AQS","470090011","3","5.9","ug/m3 LC","33","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/14/2022","AQS","470090011","3","6.9","ug/m3 LC","38","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/15/2022","AQS","470090011","3","9.1","ug/m3 LC","51","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/16/2022","AQS","470090011","3","8.6","ug/m3 LC","48","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/17/2022","AQS","470090011","3","6.4","ug/m3 LC","36","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/18/2022","AQS","470090011","3","1","ug/m3 LC","6","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/19/2022","AQS","470090011","3","7.4","ug/m3 LC","41","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/20/2022","AQS","470090011","3","7.3","ug/m3 LC","41","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/21/2022","AQS","470090011","3","11.1","ug/m3 LC","55","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/22/2022","AQS","470090011","3","7.6","ug/m3 LC","42","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/23/2022","AQS","470090011","3","2.7","ug/m3 LC","15","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/24/2022","AQS","470090011","3","5.4","ug/m3 LC","30","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/25/2022","AQS","470090011","3","2.6","ug/m3 LC","14","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/26/2022","AQS","470090011","3","5.6","ug/m3 LC","31","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/27/2022","AQS","470090011","3","4.5","ug/m3 LC","25","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/28/2022","AQS","470090011","3","5","ug/m3 LC","28","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/01/2022","AQS","470090011","3","6.5","ug/m3 LC","36","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/02/2022","AQS","470090011","3","5.3","ug/m3 LC","29","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/03/2022","AQS","470090011","3","10.6","ug/m3 LC","54","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/04/2022","AQS","470090011","3","12.5","ug/m3 LC","57","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/05/2022","AQS","470090011","3","20.8","ug/m3 LC","73","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/06/2022","AQS","470090011","3","9.3","ug/m3 LC","51","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/07/2022","AQS","470090011","3","8.1","ug/m3 LC","45","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/08/2022","AQS","470090011","3","1.9","ug/m3 LC","11","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/09/2022","AQS","470090011","3","1.8","ug/m3 LC","10","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/10/2022","AQS","470090011","3","3.7","ug/m3 LC","21","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/11/2022","AQS","470090011","3","7.1","ug/m3 LC","39","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/12/2022","AQS","470090011","3","1.2","ug/m3 LC","7","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/13/2022","AQS","470090011","3","3.8","ug/m3 LC","21","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/14/2022","AQS","470090011","3","6.4","ug/m3 LC","36","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/15/2022","AQS","470090011","3","11.3","ug/m3 LC","55","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/16/2022","AQS","470090011","3","9.9","ug/m3 LC","52","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/17/2022","AQS","470090011","3","5.6","ug/m3 LC","31","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/18/2022","AQS","470090011","3","5.7","ug/m3 LC","32","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/19/2022","AQS","470090011","3","2.5","ug/m3 LC","14","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/20/2022","AQS","470090011","3","3.5","ug/m3 LC","19","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/21/2022","AQS","470090011","3","7.5","ug/m3 LC","42","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/22/2022","AQS","470090011","3","8.4","ug/m3 LC","47","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/23/2022","AQS","470090011","3","3.8","ug/m3 LC","21","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/24/2022","AQS","470090011","3","2.8","ug/m3 LC","16","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/25/2022","AQS","470090011","3","3","ug/m3 LC","17","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/26/2022","AQS","470090011","3","2.2","ug/m3 LC","12","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/27/2022","AQS","470090011","3","2.2","ug/m3 LC","12","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/28/2022","AQS","470090011","3","3.5","ug/m3 LC","19","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/29/2022","AQS","470090011","3","5.4","ug/m3 LC","30","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/30/2022","AQS","470090011","3","11.3","ug/m3 LC","55","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"03/31/2022","AQS","470090011","3","5.3","ug/m3 LC","29","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"04/01/2022","AQS","470090011","3","1.5","ug/m3 LC","8","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"04/02/2022","AQS","470090011","3","6","ug/m3 LC","33","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"04/03/2022","AQS","470090011","3","4.2","ug/m3 LC","23","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"04/04/2022","AQS","470090011","3","6","ug/m3 LC","33","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"04/05/2022","AQS","470090011","3","9","ug/m3 LC","50","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"04/06/2022","AQS","470090011","3","7.3","ug/m3 LC","41","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"04/07/2022","AQS","470090011","3","2.6","ug/m3 LC","14","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"04/08/2022","AQS","470090011","3","2.2","ug/m3 LC","12","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"04/09/2022","AQS","470090011","3","2.8","ug/m3 LC","16","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"04/10/2022","AQS","470090011","3","6","ug/m3 LC","33","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"04/11/2022","AQS","470090011","3","7.3","ug/m3 LC","41","Maryville","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
